name,type,L,s,apx,apy,subsystem,dtype,system,inst,device,desc
DRIFT,DRIFT,0.0986025,183.24072982,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB10:CAV5_D1834,CAV,0.3,183.44048832,0.034,0.034,CB10,CAV_B08,LS1,D1834,CAV5,b08 resonator
DRIFT,DRIFT,0.097688,183.63933232,0.034,0.034,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB10:CAV6_D1838,CAV,0.3,183.83817632,0.034,0.034,CB10,CAV_B08,LS1,D1838,CAV6,b08 resonator
DRIFT,DRIFT,0.097688,184.03702032,0.034,0.034,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB10:CAV7_D1842,CAV,0.3,184.23586432,0.034,0.034,CB10,CAV_B08,LS1,D1842,CAV7,b08 resonator
LS1_CB10:BLM_D1844,BLM,0.0,184.38494982,0.034,0.034,CB10,NONE,LS1,NONE,BLM,outside loss monitor
DRIFT,DRIFT,0.09559534,184.43411924,0.034,0.034,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB10:BPM_D1845,BPM,0.0,184.48145966,0.04,0.04,CB10,BPM6,LS1,D1845,BPM,"position monitor, BPMc"
DRIFT,DRIFT,0.05588,184.50939966,0.04,0.04,NONE,NONE,NONE,NONE,NONE,BPM-box
DRIFT,DRIFT,0.076136,184.57540766,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-entry
LS1_CB10:SOL3_D1849,SOLCOR,0.5,184.86347566,0.04,0.04,CB10,SOL_S2,LS1,D1849,SOL3,solenoid+correctors
LS1_CB10:DCH_D1849,HCOR,0.0,184.86347566,0.04,0.04,CB10,S2,LS1,D1849,DCH,horiz. corrector magnet
LS1_CB10:DCV_D1849,VCOR,0.0,184.86347566,0.04,0.04,CB10,S2,LS1,D1849,DCV,vert. corrector magnet
DRIFT,DRIFT,0.076136,185.15154366,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-exit
DRIFT,DRIFT,0.0986025,185.23845566,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB10:CAV8_D1854,CAV,0.3,185.43821416,0.034,0.034,CB10,CAV_B08,LS1,D1854,CAV8,b08 resonator
DRIFT,DRIFT,0.1899075,185.68362516,0.034,0.034,NONE,NONE,NONE,NONE,NONE,bellows
LS1_CB10:GV_D1858,VALVE,0.057404,185.80682366,0.04,0.04,CB10,NONE,LS1,NONE,GV,gate valve
DRIFT,DRIFT,0.103502,185.88727666,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_WB10:BPM_D1859,BPM,0.0,185.93902766,0.04,0.04,WB10,BPM2,LS1,D1859,BPM,position monitor
DRIFT,DRIFT,0.145282,186.01166866,0.04,0.04,NONE,NONE,NONE,NONE,NONE,diagnostic box
LS1_WB10:PORT_D1861,PORT,0.0,186.08430966,0.04,0.04,WB10,,LS1,NONE,PORT,port for future diagnostics
DRIFT,DRIFT,0.0,186.08430966,0.04,0.04,NONE,NONE,NONE,NONE,NONE,diagnostic box
LS1_WB10:IP_D1861,PORT,0.0,186.08430966,0.04,0.04,WB10,IP_S,LS1,NONE,IP,"ion pump, 75 l/s"
DRIFT,DRIFT,0.131216,186.14991766,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB11:GV_D1862,VALVE,0.057404,186.24422766,0.04,0.04,CB11,NONE,LS1,NONE,GV,gate valve
DRIFT,DRIFT,0.1899075,186.36742616,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellows
LS1_CB11:CAV1_D1866,CAV,0.3,186.61283716,0.034,0.034,CB11,CAV_B08,LS1,D1866,CAV1,b08 resonator
LS1_CB11:BLM_D1868,BLM,0.0,186.76192266,0.034,0.034,CB11,NONE,LS1,NONE,BLM,outside loss monitor
DRIFT,DRIFT,0.09559534,186.81109208,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB11:BPM_D1869,BPM,0.0,186.8584325,0.04,0.04,CB11,BPM6,LS1,D1869,BPM,"position monitor, BPMc"
DRIFT,DRIFT,0.05588,186.8863725,0.04,0.04,NONE,NONE,NONE,NONE,NONE,BPM-box
DRIFT,DRIFT,0.076136,186.9523805,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-entry
