s,name,pv_x,pv_y,pv_pha,pv_mag,pv_x_ref,pv_y_ref,pv_pha_ref,pv_mag_ref,pv_dx_ref,pv_dy_ref,pv_dpha_ref,pv_mag_ratio
150.621611,LS1_CB05:BPM_D1506,LS1_CB05:BPM_D1506:XPOS_RD,LS1_CB05:BPM_D1506:YPOS_RD,LS1_CB05:BPM_D1506:PHASE_RD,LS1_CB05:BPM_D1506:MAG_RD,LS1_CB05:BPM_D1506:XPOS_REF_RD,LS1_CB05:BPM_D1506:YPOS_REF_RD,LS1_CB05:BPM_D1506:PHASE_REF_RD,LS1_CB05:BPM_D1506:MAG_REF_RD,LS1_CB05:BPM_D1506:XPOS_DRDREF,LS1_CB05:BPM_D1506:YPOS_DRDREF,LS1_CB05:BPM_D1506:PHASE_DRDREF,LS1_CB05:BPM_D1506:MAG_RATIO
152.619337,LS1_CB05:BPM_D1526,LS1_CB05:BPM_D1526:XPOS_RD,LS1_CB05:BPM_D1526:YPOS_RD,LS1_CB05:BPM_D1526:PHASE_RD,LS1_CB05:BPM_D1526:MAG_RD,LS1_CB05:BPM_D1526:XPOS_REF_RD,LS1_CB05:BPM_D1526:YPOS_REF_RD,LS1_CB05:BPM_D1526:PHASE_REF_RD,LS1_CB05:BPM_D1526:MAG_REF_RD,LS1_CB05:BPM_D1526:XPOS_DRDREF,LS1_CB05:BPM_D1526:YPOS_DRDREF,LS1_CB05:BPM_D1526:PHASE_DRDREF,LS1_CB05:BPM_D1526:MAG_RATIO
154.076905,LS1_WB05:BPM_D1541,LS1_WB05:BPM_D1541:XPOS_RD,LS1_WB05:BPM_D1541:YPOS_RD,LS1_WB05:BPM_D1541:PHASE_RD,LS1_WB05:BPM_D1541:MAG_RD,LS1_WB05:BPM_D1541:XPOS_REF_RD,LS1_WB05:BPM_D1541:YPOS_REF_RD,LS1_WB05:BPM_D1541:PHASE_REF_RD,LS1_WB05:BPM_D1541:MAG_REF_RD,LS1_WB05:BPM_D1541:XPOS_DRDREF,LS1_WB05:BPM_D1541:YPOS_DRDREF,LS1_WB05:BPM_D1541:PHASE_DRDREF,LS1_WB05:BPM_D1541:MAG_RATIO
154.99631,LS1_CB06:BPM_D1550,LS1_CB06:BPM_D1550:XPOS_RD,LS1_CB06:BPM_D1550:YPOS_RD,LS1_CB06:BPM_D1550:PHASE_RD,LS1_CB06:BPM_D1550:MAG_RD,LS1_CB06:BPM_D1550:XPOS_REF_RD,LS1_CB06:BPM_D1550:YPOS_REF_RD,LS1_CB06:BPM_D1550:PHASE_REF_RD,LS1_CB06:BPM_D1550:MAG_REF_RD,LS1_CB06:BPM_D1550:XPOS_DRDREF,LS1_CB06:BPM_D1550:YPOS_DRDREF,LS1_CB06:BPM_D1550:PHASE_DRDREF,LS1_CB06:BPM_D1550:MAG_RATIO
156.994036,LS1_CB06:BPM_D1570,LS1_CB06:BPM_D1570:XPOS_RD,LS1_CB06:BPM_D1570:YPOS_RD,LS1_CB06:BPM_D1570:PHASE_RD,LS1_CB06:BPM_D1570:MAG_RD,LS1_CB06:BPM_D1570:XPOS_REF_RD,LS1_CB06:BPM_D1570:YPOS_REF_RD,LS1_CB06:BPM_D1570:PHASE_REF_RD,LS1_CB06:BPM_D1570:MAG_REF_RD,LS1_CB06:BPM_D1570:XPOS_DRDREF,LS1_CB06:BPM_D1570:YPOS_DRDREF,LS1_CB06:BPM_D1570:PHASE_DRDREF,LS1_CB06:BPM_D1570:MAG_RATIO
158.991762,LS1_CB06:BPM_D1590,LS1_CB06:BPM_D1590:XPOS_RD,LS1_CB06:BPM_D1590:YPOS_RD,LS1_CB06:BPM_D1590:PHASE_RD,LS1_CB06:BPM_D1590:MAG_RD,LS1_CB06:BPM_D1590:XPOS_REF_RD,LS1_CB06:BPM_D1590:YPOS_REF_RD,LS1_CB06:BPM_D1590:PHASE_REF_RD,LS1_CB06:BPM_D1590:MAG_REF_RD,LS1_CB06:BPM_D1590:XPOS_DRDREF,LS1_CB06:BPM_D1590:YPOS_DRDREF,LS1_CB06:BPM_D1590:PHASE_DRDREF,LS1_CB06:BPM_D1590:MAG_RATIO
160.44933,LS1_WB06:BPM_D1604,LS1_WB06:BPM_D1604:XPOS_RD,LS1_WB06:BPM_D1604:YPOS_RD,LS1_WB06:BPM_D1604:PHASE_RD,LS1_WB06:BPM_D1604:MAG_RD,LS1_WB06:BPM_D1604:XPOS_REF_RD,LS1_WB06:BPM_D1604:YPOS_REF_RD,LS1_WB06:BPM_D1604:PHASE_REF_RD,LS1_WB06:BPM_D1604:MAG_REF_RD,LS1_WB06:BPM_D1604:XPOS_DRDREF,LS1_WB06:BPM_D1604:YPOS_DRDREF,LS1_WB06:BPM_D1604:PHASE_DRDREF,LS1_WB06:BPM_D1604:MAG_RATIO
161.368734,LS1_CB07:BPM_D1614,LS1_CB07:BPM_D1614:XPOS_RD,LS1_CB07:BPM_D1614:YPOS_RD,LS1_CB07:BPM_D1614:PHASE_RD,LS1_CB07:BPM_D1614:MAG_RD,LS1_CB07:BPM_D1614:XPOS_REF_RD,LS1_CB07:BPM_D1614:YPOS_REF_RD,LS1_CB07:BPM_D1614:PHASE_REF_RD,LS1_CB07:BPM_D1614:MAG_REF_RD,LS1_CB07:BPM_D1614:XPOS_DRDREF,LS1_CB07:BPM_D1614:YPOS_DRDREF,LS1_CB07:BPM_D1614:PHASE_DRDREF,LS1_CB07:BPM_D1614:MAG_RATIO
163.36646,LS1_CB07:BPM_D1634,LS1_CB07:BPM_D1634:XPOS_RD,LS1_CB07:BPM_D1634:YPOS_RD,LS1_CB07:BPM_D1634:PHASE_RD,LS1_CB07:BPM_D1634:MAG_RD,LS1_CB07:BPM_D1634:XPOS_REF_RD,LS1_CB07:BPM_D1634:YPOS_REF_RD,LS1_CB07:BPM_D1634:PHASE_REF_RD,LS1_CB07:BPM_D1634:MAG_REF_RD,LS1_CB07:BPM_D1634:XPOS_DRDREF,LS1_CB07:BPM_D1634:YPOS_DRDREF,LS1_CB07:BPM_D1634:PHASE_DRDREF,LS1_CB07:BPM_D1634:MAG_RATIO
165.364186,LS1_CB07:BPM_D1654,LS1_CB07:BPM_D1654:XPOS_RD,LS1_CB07:BPM_D1654:YPOS_RD,LS1_CB07:BPM_D1654:PHASE_RD,LS1_CB07:BPM_D1654:MAG_RD,LS1_CB07:BPM_D1654:XPOS_REF_RD,LS1_CB07:BPM_D1654:YPOS_REF_RD,LS1_CB07:BPM_D1654:PHASE_REF_RD,LS1_CB07:BPM_D1654:MAG_REF_RD,LS1_CB07:BPM_D1654:XPOS_DRDREF,LS1_CB07:BPM_D1654:YPOS_DRDREF,LS1_CB07:BPM_D1654:PHASE_DRDREF,LS1_CB07:BPM_D1654:MAG_RATIO
166.821754,LS1_WB07:BPM_D1668,LS1_WB07:BPM_D1668:XPOS_RD,LS1_WB07:BPM_D1668:YPOS_RD,LS1_WB07:BPM_D1668:PHASE_RD,LS1_WB07:BPM_D1668:MAG_RD,LS1_WB07:BPM_D1668:XPOS_REF_RD,LS1_WB07:BPM_D1668:YPOS_REF_RD,LS1_WB07:BPM_D1668:PHASE_REF_RD,LS1_WB07:BPM_D1668:MAG_REF_RD,LS1_WB07:BPM_D1668:XPOS_DRDREF,LS1_WB07:BPM_D1668:YPOS_DRDREF,LS1_WB07:BPM_D1668:PHASE_DRDREF,LS1_WB07:BPM_D1668:MAG_RATIO
